id;code;description;unit;fractioned;barcode;internal_barcode;supplier_code;model;part_number;brand_code;inventory_enabled;inventory_minimum;inventory_maximum;inventory_negative;cost;cost_based;utility;utility2;utility3;price;price2;price3;sell_price;sell_price2;sell_price3;ask_price;pred_discount;max_sale_discount;on_sale;is_active;consignment;generic;image;observations;department;subdepartment;use_taxes;taxes;tax_code;use_taxes2;taxes2;tax_code2;use_taxes3;taxes3;tax_code3;created;updated
848c6492-a4a7-4d18-ae01-66325659d5b7;70155;FILTRO QUITA PELUSA SAMSUNG MED C# VD 83;UND;0;;;32251;?;;;1.00;2.00;6.00;0.00;1530.00;;45.00;45.00;;2433.63;2433.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
e1fa207e-1ea8-4a10-b205-657f3662e7d7;70156;FILTRO QUITA PELUSA SAMSUNG GDE C# VD 83;UND;0;;;32252;?;;;1.00;2.00;6.00;0.00;2250.00;;45.00;45.00;;3982.30;3982.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
1843f9e1-b307-4ba5-9d0d-18be33670a7f;70157;CONTROL T. REF SAMSUNG SR30NMB 2PTAS (DA47-10154F) DESCONT;UND;0;;;DA47-10154F;?;;;1.00;2.00;6.00;0.00;4819.50;;45.00;45.00;;9292.04;9292.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
4f94afce-ca7d-4ebb-960d-049c5957a1ea;70158;MANGUERA INTERNA LAV SAMSUMG;UND;0;;;DC62-00092A;?;;;1.00;1.00;3.00;0.00;1700.00;;45.00;45.00;;3097.35;3097.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
6fb7f474-d8aa-4597-9429-e3ba7cc9bd55;70159;MANGUERA DESAG SAMSUNG JUMBO WT11C1 (DC91-11236K);UND;0;;;DC91-11236K;?;;;1.00;2.00;6.00;0.00;2295.00;;45.00;45.00;;4336.28;4336.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
1fcdc5d1-ee2f-4e3a-8540-96a7cac48329;70160;BATERIA P/TEL SANYO 2.4V 300MAH SEC-PCH2-U1 (T104);UND;0;;;T104;?;;;1.00;2.00;6.00;0.00;796.00;;45.00;45.00;;1548.67;1548.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
70e2d2b8-76cf-4941-ba58-efcd4d383e91;70161;PLATO LAV SAMSUNG WA17X / WA15XARIP (DC97-16799A);UND;0;;;DC97-16799A;?;;;1.00;2.00;6.00;0.00;14708.85;;45.00;45.00;;24336.28;24336.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
b178f4b8-5c3e-4c32-9d97-1ec07cf14c1b;70162;MEMBRANA MICR SAMSUNG MOD AMW83 (DE34-00309R);UND;0;;;DE34-00309R;?;;;1.00;2.00;6.00;0.00;4250.00;;45.00;45.00;;8407.08;8407.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
c9e9fbbc-adf8-44c5-a747-1ef29c8b2165;70163;MEMBRANA MICR SAMSUNG MW1030WE/XAP;UND;0;;;DE34-00190Y;?;;;1.00;2.00;6.00;0.00;4450.50;;45.00;45.00;;8407.08;8407.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
91b5c34d-5ef9-4f35-82de-9be715ace1c1;70164;CILINDRO SEC SAMSUNG  MOD. 13S2-13J7;UND;0;;;DC97-04307C;13S2 / 13J7;;;1.00;1.00;2.00;0.00;20668.00;;45.00;45.00;;29646.02;29646.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
