id;code;name;province_code;canton_code;district_code
284;29;Tauros;1;3;1
285;30;Torremolinos;1;3;1
286;31;Venecia;1;3;1
287;32;Vista Verde.;1;3;1
288;1;Ángeles;1;3;2
289;2;Capri;1;3;2
290;3;Damas Israelitas;1;3;2
291;4;Girasol;1;3;2
292;5;Higuito;1;3;2
293;6;Lindavista;1;3;2
294;7;Lomas de Jorco;1;3;2
295;8;Llano;1;3;2
296;9;Meseguer;1;3;2
297;10;Olivos;1;3;2
298;11;Orquídeas;1;3;2
299;12;Peñascal;1;3;2
300;13;Rinconada;1;3;2
301;14;Rodillal;1;3;2
302;15;Sabanilla;1;3;2
303;16;San Martín;1;3;2
304;17;Santa Eduvigis;1;3;2
305;18;Valverde.;1;3;2
306;19;Alto Alumbre;1;3;2
307;20;Hoyo;1;3;2
308;21;Jericó;1;3;2
309;22;Manzano;1;3;2
310;23;Pacaya;1;3;2
311;24;Roblar;1;3;2
312;25;Ticalpes (parte);1;3;2
313;26;Calle Naranjos.;1;3;2
314;1;Calabacitas;1;3;3
315;2;Calle Común;1;3;3
316;3;Cruz Roja;1;3;3
317;4;Itaipú;1;3;3
318;5;Máquinas;1;3;3
319;6;Mota;1;3;3
320;7;Novedades;1;3;3
321;8;Pedrito Monge;1;3;3
322;9;Río;1;3;3
323;10;Robles.;1;3;3
324;1;Alpino;1;3;4
325;2;Arco Iris;1;3;4
326;3;Bambú;1;3;4
327;4;Berlay;1;3;4
328;5;Guaria;1;3;4
329;6;Huaso (parte);1;3;4
330;7;Juncales;1;3;4
331;8;Lajas;1;3;4
332;9;Macarena;1;3;4
333;10;Maiquetía;1;3;4
334;11;Méndez.;1;3;4
335;1;Acacias;1;3;5
336;2;Calle Amador;1;3;5
337;3;Constancia;1;3;5
338;4;Churuca;1;3;5
339;5;Huetares;1;3;5
340;6;Plazoleta;1;3;5
341;7;Pueblo Nuevo;1;3;5
342;8;Río Damas;1;3;5
343;9;Rotondas;1;3;5
344;10;Solar.;1;3;5
345;1;Bajos de Tarrazú;1;3;6
346;2;Bustamante;1;3;6
347;3;Santa Elena (parte);1;3;6
348;4;Violeta.;1;3;6
349;1;Aguacate;1;3;7
350;2;Balneario;1;3;7
351;3;Don Bosco;1;3;7
352;4;Guatuso;1;3;7
353;5;Güízaro;1;3;7
354;6;Jerusalén;1;3;7
355;7;Lince;1;3;7
356;8;Mesas;1;3;7
357;9;Quebrada Honda;1;3;7
358;10;Ticalpes (parte).;1;3;7
359;1;Empalme (parte);1;3;8
360;2;Lucha (parte);1;3;8
361;3;San Cristóbal Sur;1;3;8
362;4;Sierra.;1;3;8
363;1;Bajo Tigre;1;3;9
364;2;Chirogres;1;3;9
365;3;Guadarrama;1;3;9
366;4;Joya;1;3;9
367;5;La Fila (parte);1;3;9
368;6;Llano bonito;1;3;9
369;7;Quebrada Honda;1;3;9
370;8;Trinidad (parte).;1;3;9
371;1;Cajita;1;3;10
372;2;Dorado;1;3;10
373;3;Dos Cercas;1;3;10
374;4;Fomentera;1;3;10
375;5;Nuestra Señora de la Esperanza;1;3;10
376;6;San Lorenzo.;1;3;10
377;1;Ángeles;1;3;11
378;2;Autofores;1;3;11
379;3;Balboa;1;3;11
380;4;Coopelot;1;3;11
381;5;Gardenia;1;3;11
382;6;Higuerones;1;3;11
383;7;Leo;1;3;11
384;8;Mónaco;1;3;11
385;9;Sagitario;1;3;11
386;10;Santa Cecilia;1;3;11
387;11;Tejar (parte);1;3;11
388;12;Treviso;1;3;11
389;13;Unidas;1;3;11
390;14;Valencia;1;3;11
391;15;Vizcaya.;1;3;11
392;1;Cartonera;1;3;12
393;2;Claveles;1;3;12
